row_id	museum_id	type	url	clean_url
3594	mm.ace.042	twitter	https://twitter.com/haringeycouncil	https://twitter.com/haringeycouncil
3595	mm.ace.042	facebook	https://www.facebook.com/haringeycouncil	https://www.facebook.com/haringeycouncil
3596	mm.domus.SE161	twitter	https://twitter.com/socantiquaries	https://twitter.com/socantiquaries
3597	mm.domus.SE161	facebook	https://www.facebook.com/societyofantiquariesoflondon	https://www.facebook.com/societyofantiquariesoflondon
3600	mm.domus.SC180	facebook	https://www.facebook.com/tracesofwar/	https://www.facebook.com/tracesofwar
3601	mm.domus.SC180	twitter	https://twitter.com/tracesofwar	https://twitter.com/tracesofwar
3606	mm.domus.SE098	facebook	https://www.facebook.com/raptcmuseum	https://www.facebook.com/raptcmuseum
3607	mm.domus.SE098	twitter	https://twitter.com/raptcmuseum	https://twitter.com/raptcmuseum
3608	mm.wiki.045	facebook	no_resource	no_resource
3609	mm.wiki.045	twitter	no_resource	no_resource
3610	mm.aim.0677	facebook	no_resource	no_resource
3611	mm.aim.0677	twitter	no_resource	no_resource
3612	mm.New.128	facebook	no_resource	no_resource
3613	mm.New.128	twitter	no_resource	no_resource
3614	mm.domus.NE032	twitter	https://twitter.com/sundmuseum	https://twitter.com/sundmuseum
3615	mm.domus.NE032	facebook	https://www.facebook.com/sunderlandmuseum/	https://www.facebook.com/sunderlandmuseum
3616	mm.aim.0406	facebook	no_resource	no_resource
3617	mm.aim.0406	twitter	no_resource	no_resource
3618	mm.hha.060	facebook	no_resource	no_resource
3619	mm.hha.060	twitter	no_resource	no_resource
3620	mm.domus.SC022	facebook	https://www.facebook.com/angusalivemuseums/	https://www.facebook.com/angusalivemuseums
3621	mm.domus.SC022	facebook	https://www.facebook.com/visitangus/	https://www.facebook.com/visitangus
3622	mm.domus.SC022	twitter	no_resource	no_resource
3623	mm.aim82M.062	facebook	no_resource	no_resource
3624	mm.aim82M.062	twitter	no_resource	no_resource
3625	mm.domus.WM015	facebook	https://www.facebook.com/bantockhousemuseum	https://www.facebook.com/bantockhousemuseum
3626	mm.domus.WM015	twitter	https://twitter.com/bantockhouse	https://twitter.com/bantockhouse
3629	mm.domus.SE158	facebook	http://www.facebook.com/pages/royal-engineers-museum/13523002353	http://www.facebook.com/pages/royal-engineers-museum/13523002353
3630	mm.domus.SE158	twitter	https://twitter.com/remuseum	https://twitter.com/remuseum
3631	mm.domus.SW186	facebook	https://www.facebook.com/dartmouthmuseum1	https://www.facebook.com/dartmouthmuseum1
3632	mm.domus.SW186	twitter	https://twitter.com/dartmouthmuseum	https://twitter.com/dartmouthmuseum
3633	mm.ace.1220	facebook	https://www.facebook.com/portsunlightvillagetrust/	https://www.facebook.com/portsunlightvillagetrust
3634	mm.ace.1220	twitter	https://twitter.com/portsunlight	https://twitter.com/portsunlight
3635	mm.ace.1173	facebook	no_resource	no_resource
3636	mm.ace.1173	twitter	no_resource	no_resource
3637	mm.domus.SC104	facebook	https://www.facebook.com/onatdclg?fref=ts	https://www.facebook.com/onatdclg
3638	mm.domus.SC104	twitter	https://twitter.com/onatdclg?lang=en-gb	https://twitter.com/onatdclg
3639	mm.domus.NE008	facebook	https://www.facebook.com/prestonparkmuseum/	https://www.facebook.com/prestonparkmuseum
3640	mm.domus.NE008	twitter	https://twitter.com/pparkmuseum	https://twitter.com/pparkmuseum
3643	mm.mgs.285	facebook	https://www.facebook.com/robertburnsbirthplacemuseum	https://www.facebook.com/robertburnsbirthplacemuseum
3644	mm.mgs.285	twitter	https://twitter.com/robertburnsnts	https://twitter.com/robertburnsnts
3645	mm.mgs.285	twitter	https://twitter.com/n_t_s	https://twitter.com/n_t_s
3646	mm.mgs.285	facebook	https://www.facebook.com/nationaltrustforscotland	https://www.facebook.com/nationaltrustforscotland
3647	mm.New.124	facebook	no_resource	no_resource
3648	mm.New.124	twitter	no_resource	no_resource
3649	mm.musa.286	twitter	https://twitter.com/englishheritage	https://twitter.com/englishheritage
3650	mm.musa.286	facebook	https://www.facebook.com/englishheritage	https://www.facebook.com/englishheritage
3657	mm.wiki.190	facebook	https://www.facebook.com/heatonparktramway/	https://www.facebook.com/heatonparktramway
3658	mm.wiki.190	facebook	https://www.facebook.com/heatonparktramway/posts/3597678756953967	https://www.facebook.com/heatonparktramway/posts/3597678756953967
3660	mm.wiki.190	facebook	https://www.facebook.com/heatonparktramway/posts/3604279412960568	https://www.facebook.com/heatonparktramway/posts/3604279412960568
3662	mm.wiki.190	twitter	https://twitter.com/heatonparktram?lang=en	https://twitter.com/heatonparktram
3663	mm.domus.WM129	facebook	https://www.facebook.com/theironbridgegorgemuseums	https://www.facebook.com/theironbridgegorgemuseums
3664	mm.domus.WM129	twitter	https://twitter.com/blistshill	https://twitter.com/blistshill
3665	mm.ace.1199	twitter	https://twitter.com/courtbarnmuseum	https://twitter.com/courtbarnmuseum
