museum_id	twitter_id	facebook_pages	twitter_action	facebook_action	correct_twitter	correct_facebook	twitter_id_old	facebook_pages_old
mm.domus.WM006	twitter.com/shropsregiment	['www.facebook.com/shropshireregimentalmuseum', 'en-gb.facebook.com/ShropshireRegimentalMuseum']	keep	keep				
mm.domus.WM136	['www.twitter.com/shugboroughnt', 'twitter.com/shugboroughnt']	['www.facebook.com/shugboroughestatent', 'en-gb.facebook.com/ShugboroughEstateNT/posts']	keep	keep				
mm.wiki.026	twitter.com/sicktodeathuk	no_resource	keep	keep				
mm.domus.SW156	twitter.com/sidmouthmuseum	en-gb.facebook.com/SidmouthMuseum	keep	keep				
mm.musa.310	no_resource	no_resource	keep	keep				
mm.misc.216	twitter.com/sidneynolantrst	['www.facebook.com/sidneynolantrust', 'en-gb.facebook.com/SidneyNolanTrust']	keep	keep				
mm.domus.NW082	no_resource	en-gb.facebook.com/pages/category/Cultural-Gifts-Store/MaccMuseumsShop/posts	keep	keep				
mm.domus.YH144	no_resource	en-gb.facebook.com/sionhillhall	keep	keep				
mm.wiki.251	twitter.com/sirjohnmoore	['www.facebook.com/sir-john-moore-foundation-123160907741617', 'www.facebook.com/sirjohnmoorevenue', 'en-gb.facebook.com/Sir-John-Moore-Foundation-123160907741617/?ref=page_internal']	keep	keep				
mm.domus.SE570	twitter.com/soanemuseum	['www.facebook.com/sirjohnsoanesmuseum', 'en-gb.facebook.com/SirJohnSoanesMuseum/shop']	keep	keep				
mm.musa.311	no_resource	no_resource	keep	keep				
mm.aim.0625	no_resource	no_resource	keep	keep				
mm.domus.SC246	no_resource	no_resource	keep	keep				
mm.domus.SE536	['twitter.com/sissinghurstnt']	['www.facebook.com/sissinghurst-castle-national-trust-332852743411045']	keep	keep				
mm.musa.312	twitter.com/sandklr	['www.facebook.com/groups/sandklr']	keep	keep				
mm.musa.313	['www.twitter.com/sittingbournehm']	['www.facebook.com/sittingbournehm', 'en-gb.facebook.com/SittingbourneHM']	keep	keep				
mm.domus.NW176	['twitter.com/ntsizerghcastle', 'twitter.com/sizerghcastlent']	['www.facebook.com/sizerghcastlent', 'en-gb.facebook.com/SizerghCastleNT']	keep	keep				
mm.hha.168	twitter.com/search?q=%23SkaillHouse&src=typd	['www.facebook.com/skaillhouse', 'en-gb.facebook.com/Skaillhouse']	keep	keep				
mm.mgs.288	no_resource	no_resource	keep	keep				
mm.domus.SC191	no_resource	no_resource	keep	keep				
mm.domus.YH169	['twitter.com/eridinglma']	['www.facebook.com/eridinglma']	keep	keep				
mm.fcm.230	no_resource	no_resource	keep	keep				
mm.hha.127	['twitter.com/sledmerehouse', 'twitter.com/sledmerehouse/status/949565830530027521']	['www.facebook.com/sledmerehouseandgardens', 'en-gb.facebook.com/sledmerehouseandgardens/about']	keep	keep				
mm.domus.SE345	['twitter.com/thecurveslough', 'twitter.com/sloughmuseum']	['www.facebook.com/thesloughcurve']	keep	keep				
mm.mgs.346	['twitter.com/sma_shot', 'twitter.com/paisleyis']	['www.facebook.com/smashotpaisley', 'www.facebook.com/paisleyis']	keep	keep				
mm.New.67	no_resource	no_resource	keep	keep				
mm.New.89	no_resource	en-gb.facebook.com/SmallArmsSchoolCorps/posts	keep	keep				
mm.domus.SE537	twitter.com/smallhythent	en-gb.facebook.com/pages/category/Nonprofit-Organization/SmallhythePlaceNT/posts	keep	keep				
mm.aim.0892	twitter.com/smethwickmuseum	no_resource	keep	keep				
mm.domus.YH115	no_resource	no_resource	keep	keep				
mm.domus.NW106	twitter.com/smithillshall	en-gb.facebook.com/SmithillsHall/?rf=126697557373093	keep	keep				
mm.ace.1094	twitter.com/smithyheritage	en-gb.facebook.com/SmithyHeritage	keep	keep				
mm.wiki.034	['twitter.com/jamaicainn']	['www.facebook.com/jamaicainncornwall']	keep	keep				
mm.fcm.231	['www.twitter.com/museumslondon', 'twitter.com/museumslondon']	['www.facebook.com/museumslondon', 'en-gb.facebook.com/smythsonnewbondstreet']	keep	keep				
mm.domus.SW224	twitter.com/snowshillmanor	['www.facebook.com/snowshillmanornt', 'en-gb.facebook.com/SnowshillManorNT']	keep	keep				
mm.domus.SE160	twitter.com/socantiquaries	['www.facebook.com/societyofantiquariesoflondon', 'en-gb.facebook.com/SocietyofAntiquariesofLondon']	keep	keep				
mm.domus.WM132	twitter.com/sohohousemuseum	['www.facebook.com/sohohousemuseum']	keep	keep				
mm.domus.SW158	twitter.com/soldiersofglos	['www.facebook.com/soldiersofgloucestershire', 'en-gb.facebook.com/SoldiersOfGloucestershire']	keep	keep				
mm.aim.0898	twitter.com/sofotrust	['www.facebook.com/soldiersofoxfordshire', 'en-gb.facebook.com/SoldiersOfOxfordshire']	keep	keep				
mm.domus.SE452	no_resource	['www.facebook.com/solentskymuseum', 'en-gb.facebook.com/solentskymuseum']	keep	keep				
mm.aim.0900	['twitter.com/solwayaviationm', 'twitter.com/solwayaviation/status/1256106863336271872']	['www.facebook.com/solwayaviationmuseum', 'www.facebook.com/solwayaviationmuseum', 'en-gb.facebook.com/solwayaviationmuseum']	keep	keep				
mm.hha.083	['twitter.com/somerleytonhall', 'twitter.com/somerleytonhall/status/960460627742482432']	['www.facebook.com/somerleytonhall', 'en-gb.facebook.com/SomerleytonHall']	keep	keep				
mm.wiki.330	no_resource	['www.facebook.com/somersetanddorsetrailway', 'en-gb.facebook.com/somersetanddorsetrailway']	keep	keep				
mm.musa.314	no_resource	['facebook.com/148131165202071', 'www.facebook.com/somersetbrickandtilemuseum/photos/a.844139348934579/4599436146738195', 'www.facebook.com/148131165202071/posts/4538346142847196', 'www.facebook.com/somersetbrickandtilemuseum/posts/4333476466667499', 'en-gb.facebook.com/Somersetbrickandtilemuseum/posts']	keep	keep				
mm.domus.SW190	no_resource	en-gb.facebook.com/pages/category/History-Museum/Somerset-Cricket-Museum-163053987129462	keep	keep				
mm.domus.SW124	['twitter.com/somersetmuseum', 'twitter.com/somersetmuseum/status/913375266017353728']	['facebook.com/146425708779693', 'www.facebook.com/museumofsomerset/photos/a.185219368233660/3954833887938837', 'facebook.com/287437378047468', 'www.facebook.com/museumofsomerset/photos/a.185219368233660/3949207048501521', 'facebook.com/425929230833260', 'www.facebook.com/museumofsomerset/photos/a.185219368233660/3923183347770558', 'en-gb.facebook.com/museumofsomerset/about']	keep	keep				
mm.domus.SW123	twitter.com/somersetrlm	['facebook.com/289816457725591', 'www.facebook.com/somersetrlm/photos/a.424004470973455/5654945164546000', 'www.facebook.com/somersetrlm/photos/a.424004470973455/5640716252635558', 'facebook.com/615507895133418', 'www.facebook.com/somersetrlm/posts/5636043163102867', 'en-gb.facebook.com/SomersetRLM']	keep	keep				
mm.domus.NI013	['twitter.com/sommeassoc']	['www.facebook.com/pages/the-somme-association/140029992732757']	keep	keep				
mm.hha.180	twitter.com/sorncastle	['www.facebook.com/sorncastle', 'en-gb.facebook.com/sorncastle/posts']	keep	keep				
mm.domus.NE076	twitter.com/souternt	['www.facebook.com/pages/souter-lighthouse-and-the-leas/121099604597932', 'en-gb.facebook.com/SouterNT']	keep	keep				
mm.aim.0907	['twitter.com/southdevonrly', 'twitter.com/southdevonrly/status/1116683812543578113']	['www.facebook.com/southdevonrailway', 'en-gb.facebook.com/southdevonminiaturerailway']	keep	keep				
mm.fcm.232	no_resource	no_resource	keep	keep				
mm.domus.SE060	twitter.com/slg_artupdates	['en-gb.facebook.com/southlondongallery', 'en-gb.facebook.com/southlondongallery/reviews']	keep	keep				
mm.domus.SW171	no_resource	en-gb.facebook.com/pages/category/Art-Museum/South-Molton-Museum-213839668661869	keep	keep				
mm.domus.NW094	no_resource	https://www.facebook.com/pg/SouthRibbleMuseumandExhibitionCentre/community/?ref=page_internal	drop	update		https://www.facebook.com/pg/SouthRibbleMuseumandExhibitionCentre/community/?ref=page_internal	['twitter.com/visitpreston', 'twitter.com/southribblebc/status/1266408369142870018']	['www.facebook.com/visitprestonlancs', 'en-gb.facebook.com/pages/category/History-Museum/South-Ribble-Art-Gallery-And-Museum-235680039882463']
mm.domus.NE030	twitter.com/s_shieldsmuseum	['www.facebook.com/southshieldsmuseum', 'en-gb.facebook.com/southshieldsmuseum']	keep	keep				
mm.musa.316	twitter.com/strps_rail	['www.facebook.com/southtynedalerailway', 'www.facebook.com/the-station-cafe-at-alston-slaggyford-111412277705879', 'en-gb.facebook.com/southtynedalerailway/?comment_id=Y29tbWVudDoyOTE1MzM0NjQxODc5NjU0XzI5MTc2OTg1ODgzMDk5MjY%3D']	keep	keep				
mm.domus.WA063	twitter.com/swminersmuseum	en-gb.facebook.com/SWMinersMuseum	keep	keep				
mm.domus.WA071	no_resource	no_resource	drop	drop			['twitter.com/swpolice']	['www.facebook.com/swpolice']
mm.ace.1144	['www.twitter.com/aeroventuresyam', 'twitter.com/aeroventuresyam']	['www.facebook.com/aeroventuresyam', 'en-gb.facebook.com/AeroventureSYAM/events']	keep	keep				
mm.ace.1119	no_resource	['facebook.com/sytmltd']	keep	keep				
mm.domus.SE277	twitter.com/artgallerysoton	['en-gb.facebook.com/southamptoncityartgallery', 'en-gb.facebook.com/SouthamptonCityArtGallery/posts/?ref=page_internal']	keep	keep				
mm.wiki.104	no_resource	['www.facebook.com/southburnarchaeologicalmuseum']	keep	keep				
mm.domus.SE246	twitter.com/southendmuseums/status/1240254924786528257	en-gb.facebook.com/southendmuseums/events	keep	keep				
mm.domus.SE195	twitter.com/southendmuseums/status/1240254924786528257	en-gb.facebook.com/southendmuseums	keep	keep				
mm.domus.SE492	twitter.com/southendmuseums	en-gb.facebook.com/southendmuseums	keep	keep				
mm.domus.SE343	twitter.com/southsea_castle	['www.facebook.com/southseacastle', 'en-gb.facebook.com/SouthseaCastle']	keep	keep				
mm.wiki.173	twitter.com/southsidehouse1	no_resource	keep	keep				
mm.hha.098	no_resource	no_resource	keep	keep				
mm.domus.SE430	twitter.com/southwoldmuseum	no_resource	keep	keep				
mm.misc.123	no_resource	en-gb.facebook.com/The-Southwold-Sailors-Reading-Room-347224818732642/photos/?ref=page_internal	keep	keep				
mm.ace.1275	['twitter.com/sg_soc', 'twitter.com/sg_soc']	no_resource	keep	keep				
mm.domus.NW171	twitter.com/ntspekehall	['www.facebook.com/ntspekehall', 'en-gb.facebook.com/NTSpekeHall']	keep	keep				
mm.domus.SE422	twitter.com/spelthornemuseu	['www.facebook.com/groups/190760607732257', 'en-gb.facebook.com/SpelthorneVC']	keep	keep				
mm.wiki.174	twitter.com/spencerhouse11	en-gb.facebook.com/SpencerHouseLtd	keep	keep				
mm.domus.SE606	['twitter.com/spitfiremuseum']	['www.facebook.com/spitfirehurricanememorialmuseum', 'en-gb.facebook.com/pages/category/History-Museum/SpitfireHurricaneMemorialMuseum/posts']	keep	keep				
mm.domus.WM092	twitter.com/spodeworks	en-gb.facebook.com/SpodeMuseumTrustHeritageCentre	keep	keep				
mm.domus.NI020	no_resource	no_resource	keep	keep				
mm.domus.YH138	no_resource	no_resource	keep	keep				
mm.domus.SW127	twitter.com/ssgreatbritain	['www.facebook.com/ssgreatbritain', 'en-gb.facebook.com/SSGreatBritain']	keep	keep				
mm.New.3	twitter.com/ssnomadic	en-gb.facebook.com/NomadicBelfast	keep	keep				
mm.domus.SW184	['twitter.com/stagnesturtle']	en-gb.facebook.com/St-Agnes-Museum-202734939908113/posts	keep	keep				
mm.aim.0931	twitter.com/staorgantheatre	['www.facebook.com/1696818363881307', 'en-gb.facebook.com/StAlbansSquatlife']	keep	keep				
mm.misc.124	no_resource	['www.facebook.com/pages/st-albans-south-signal-box/434576123356154', 'en-gb.facebook.com/St-Albans-South-Signal-Box-434576123356154/reviews/?referrer=page_recommendations_see_all']	keep	keep				
mm.Mus70Cal.027	twitter.com/museumsunista	en-gb.facebook.com/StAndrewsCathedralSchool	keep	keep				
