muse_id	musname	town	url	url_source	Unnamed: 5
mm.domus.SW061	Mere Museum	Mere	https://meremuseum.org/	pred	
mm.aim.0098	Bishopsteignton Museum Of Rural Life	Bishopsteignton	https://www.devonmuseums.net/Bishopsteignton-Heritage-(formerly-Museum-of-Rural-Life)/Devon-Museums/	pred	
mm.wiki.086	Thomas Newcomen Engine	Dartmouth	https://discoverdartmouth.com/attraction/the-newcomen-engine	manual	
mm.musa.162	Harltand Quay Museum	Bideford	https://www.hartlandpeninsula.co.uk/see-and-do/find-hartland-quay-shipwreck-and-smuggling-museum.html	pred	
mm.MDN.036	Castletown D-Day Centre	Portland	https://ddaycentre.com/	pred	
mm.domus.SW206	Dunster Dolls Museum	Dunster	http://www.dunstermuseum.co.uk/	pred	
mm.domus.SW156	Sidmouth Museum	Sidmouth	https://www.devonmuseums.net/Sidmouth-Museum/Devon-Museums/	pred	
mm.misc.065	Magnificent Music Machines	Liskeard	closed	manual	
mm.wiki.141	Berkeley Castle	Berkeley	https://www.berkeley-castle.com/	pred	
mm.domus.SW094	Axe Valley Heritage Museum	Seaton	https://www.devonmuseums.net/Axe-Valley-Heritage-Museum/Devon-Museums/	pred	
mm.aim.0713	Oakham Treasures	Bristol	https://www.oakhamtreasures.co.uk/	pred	
mm.wiki.147	Wellington Aviation Museum	Moreton-in-Marsh	https://www.wellingtonaviation.org/	pred	
mm.aim82NM.108	Saltford Brass Mill	Saltford	https://brassmill.com/	pred	
mm.wiki.080	Crediton Museum	Crediton	http://creditonhistory.org.uk/crediton-museum.aspx	pred	
mm.fcm.102	Fossil Museum	Swanage	https://www.squareandcompasspub.co.uk/fossil-museum.html	manual	
mm.aim.1022	The Cider Press Museum	Chagford	https://www.millhousecider.com/	pred	
mm.wiki.144	Dursley Heritage Centre	Dursley	http://www.dursleyhc.org.uk/	pred	
mm.wiki.397	Chiseldon Museum	Chiseldon	http://www.chiseldonlhg.org.uk/the-museum.html	pred	
mm.New.19	Exeter City Football Club Museum	Exeter	http://grecianarchive.exeter.ac.uk/	manual	
mm.domus.WA053	Newport Museum And Art Gallery	Newport	http://www.newport.gov.uk/heritage/en/Museum-Art-Gallery/Museum-Art-Gallery.aspx	pred	
mm.mald.124	Powis Castle	Welshpool	https://www.nationaltrust.org.uk/powis-castle-and-garden	pred	
mm.domus.WA055	Oriel Ynys Mon	Ynys Mon	https://www.orielmon.org/en-gb	pred	
mm.mald.160	Winding House	New Tredegar	https://your.caerphilly.gov.uk/windinghouse/content/welcome	pred	
mm.domus.WA063	South Wales Miners Museum	Port Talbot	https://www.swminers.co.uk/	manual	
mm.domus.WA098	Ty Mawr Wybrnant	Betws-y-Coed	https://www.nationaltrust.org.uk/ty-mawr-wybrnant	pred	
mm.mald.030	Carmarthen Town Museum	Carmarthen	https://www.culture24.org.uk/am41326	pred	
mm.wiki.428	Moelfre Rnli Seawatch	Moelfre	https://rnli.org/find-my-nearest/museums/moelfre-rnli-seawatch-centre	pred	
