museum_id	twitter_id	facebook_pages	new_twitter	new_fb	comment_fb
mm.ace.1282	twitter.com/bnss1	['www.facebook.com/bournemouthnaturalsciencesociety', 'en-gb.facebook.com/BournemouthNaturalScienceSociety']			
mm.aim.0109	no_resource	['www.facebook.com/bovey-tracey-town-council-1480663405596904']			
mm.domus.NE011	twitter.com/thebowesmuseum	['www.facebook.com/pages/the-bowes-museum/8814259979', 'en-gb.facebook.com/TheBowesMuseum']			
mm.ace.1139	twitter.com/bowes_railway	['www.facebook.com/bowesrailway', 'en-gb.facebook.com/bowesrailway']			
mm.mgs.354	no_resource	['www.facebook.com/bowhillhouse', 'en-gb.facebook.com/BowhillHouse']			
mm.hha.063	['twitter.com/bowooduk', 'twitter.com/bowooduk', 'twitter.com/bowoodhouse']	['www.facebook.com/bowooduk', 'en-gb.facebook.com/BowoodHouseandGardens/posts/?ref=page_internal']			
mm.aim.0110	no_resource	en-gb.facebook.com/richardboxted			
mm.MDN.012	['twitter.com/andborough']	['www.facebook.com/visitardsandnorthdown']			
mm.domus.YH036	twitter.com/bradfordmuseums	https://www.facebook.com/pages/Bradford-Industrial-Museum/105674256133766		https://www.facebook.com/pages/Bradford-Industrial-Museum/105674256133766	wrong link
mm.domus.SW014	twitter.com/boamuseum	['www.facebook.com/bradfordonavonmuseum', 'en-gb.facebook.com/BradfordOnAvonMuseum']			
mm.aim.0112	twitter.com/bd1policemuseum	['www.facebook.com/bradfordpolicemuseum', 'en-gb.facebook.com/bradfordpolicemuseum']			
mm.ace.1235	twitter.com/bradingvilla	https://www.facebook.com/TheBradingRomanVilla		https://www.facebook.com/TheBradingRomanVilla	active
mm.misc.172	no_resource	no_resource			
mm.wiki.457	twitter.com/braemarscastle	['www.facebook.com/braemarcastle', 'www.facebook.com/braemarcastle/photos/a.112257328790625/4686104411405871', 'www.facebook.com/braemarcastle/photos/a.112257328790625/4683392765010369', 'www.facebook.com/braemarcastle/photos/a.112257328790625/4671743909508588', 'www.facebook.com/braemarcastle/photos/a.112257328790625/4677579382258374', 'www.facebook.com/braemarcastle/photos/a.112257328790625/4675285555821090', 'www.facebook.com/heritagefundscotland', 'www.facebook.com/braemarcastle/photos/a.112257328790625/4671771359505843', 'en-gb.facebook.com/braemarcastle']			
mm.domus.SE200	twitter.com/museumbraintree	['www.facebook.com/braintree-district-museum-202985223056158']			
mm.domus.NW019	twitter.com/bramall_hall	en-gb.facebook.com/BramallHall			
mm.wiki.378	twitter.com/bramhampark	en-gb.facebook.com/bramhamhorsetrials			
mm.domus.WM086	twitter.com/bramptonmuseum	['www.facebook.com/bramptonmuseum', 'en-gb.facebook.com/pages/category/Art-Gallery/bramptonmuseum/videos']			
mm.domus.NW001	no_resource	no_resource			
mm.musa.055	no_resource	no_resource			
mm.domus.SW152	twitter.com/brauntonparish	no_resource			
mm.New.130	no_resource	no_resource			
mm.aim.0117	no_resource	no_resource			
