session_id,indicator_code_merged,n_museums,n_sess_museums,indic_museum_pc,session_time,fn,fp,factor_upper,n_museums_upper,factor_lower,n_museums_lower,indic_museum_pc_upper,indic_museum_pc_lower
20211108,open_cur,1757,3043,57.73907328294447,2021-11-08,0.118,0.118,1.1179999999999999,1964.3259999999998,0.882,1549.674,64.5522839303319,50.92586263555702
20211206,open_cur,1733,3026,57.27032385988103,2021-12-06,0.118,0.118,1.1179999999999999,1937.4939999999997,0.882,1528.506,64.02822207534699,50.512425644415075
20220103,open_cur,1712,3032,56.464379947229546,2022-01-03,0.118,0.118,1.1179999999999999,1914.0159999999998,0.882,1509.984,63.12717678100264,49.80158311345646
20220131,open_cur,1716,3029,56.65236051502146,2022-01-31,0.118,0.118,1.1179999999999999,1918.4879999999998,0.882,1513.512,63.33733905579398,49.96738197424892
20220228,open_cur,1712,3038,56.35286372613562,2022-02-28,0.118,0.118,1.1179999999999999,1914.0159999999998,0.882,1509.984,63.002501645819606,49.70322580645161
20220328,open_cur,1709,3034,56.3282794990112,2022-03-28,0.118,0.118,1.1179999999999999,1910.6619999999998,0.882,1507.338,62.97501647989452,49.68154251812788
20220425,open_cur,1700,3027,56.1612157251404,2022-04-25,0.118,0.118,1.1179999999999999,1900.6,0.882,1499.4,62.788239180706974,49.53419226957384
20220524,open_cur,1706,3023,56.434005954349985,2022-05-24,0.118,0.118,1.1179999999999999,1907.3079999999998,0.882,1504.692,63.09321865696328,49.77479325173669
20210304,reopen_intent,2421,3018,80.21868787276341,2021-03-04,0.119,0.078,1.119,2709.099,0.922,2232.1620000000003,89.76471172962228,73.96163021868787
20210404,reopen_intent,2464,3032,81.26649076517151,2021-04-04,0.119,0.078,1.119,2757.216,0.922,2271.808,90.93720316622691,74.92770448548812
20210503,reopen_intent,2471,3043,81.20276043378244,2021-05-03,0.119,0.078,1.119,2765.049,0.922,2278.262,90.86588892540256,74.86894511994743
20210614,reopen_intent,2439,3056,79.81020942408377,2021-06-14,0.119,0.078,1.119,2729.241,0.922,2248.7580000000003,89.30762434554974,73.58501308900524
20210629,reopen_intent,2428,3057,79.42427216225057,2021-06-29,0.119,0.078,1.119,2716.932,0.922,2238.616,88.87576054955838,73.22917893359502
20210712,reopen_intent,2391,3050,78.39344262295081,2021-07-12,0.119,0.078,1.119,2675.529,0.922,2204.502,87.72226229508196,72.27875409836065
20210809,reopen_intent,2360,3042,77.58053911900066,2021-08-09,0.119,0.078,1.119,2640.84,0.922,2175.92,86.81262327416174,71.5292570677186
20210914,reopen_intent,2308,3047,75.74663603544471,2021-09-14,0.119,0.078,1.119,2582.652,0.922,2127.976,84.76048572366261,69.83839842468001
